HospitalCode,OverallRating,Mortality,PatientExperience,Readmission,TimelinessOfCare,EffectivenessOfCare
50072,3,NULL,-1,NULL,NULL,0
50073,4,0,0,1,NULL,0
50075,3,0,-1,-1,NULL,0
50076,3,NULL,-1,NULL,NULL,0
50077,2,1,-1,-1,-1,0
50078,3,0,0,1,-1,0
50082,4,1,-1,0,-1,0
50084,1,-1,-1,-1,-1,0
50089,2,0,-1,-1,-1,0
50090,4,0,0,1,0,0
50091,2,0,-1,0,-1,-1
50093,2,0,-1,-1,-1,0
50096,NULL,NULL,NULL,1,NULL,NULL
50100,5,0,1,1,0,0
50101,2,0,-1,1,-1,0
50102,1,0,-1,-1,-1,-1
50103,3,1,-1,1,-1,0
50104,2,0,-1,-1,-1,0
50107,3,-1,0,1,-1,0
50108,4,0,0,1,-1,0
50110,2,-1,-1,-1,0,0
50112,5,1,1,1,-1,0
50113,2,NULL,-1,0,-1,0
50115,4,0,0,1,-1,0
50116,3,1,0,0,-1,0
50118,3,0,0,1,0,0
50121,2,0,-1,-1,-1,0
50122,3,0,0,1,-1,0
50124,1,0,-1,-1,0,0
50125,2,0,-1,-1,-1,0
50126,2,1,0,-1,-1,0
50127,2,0,0,0,0,0
50128,3,0,-1,1,-1,0
50129,1,0,-1,-1,-1,0
50131,4,0,1,0,0,0
50132,4,1,-1,0,0,0
50133,1,-1,-1,1,-1,0
50135,2,1,-1,-1,-1,-1
50136,3,0,-1,1,-1,0
50137,2,NULL,-1,NULL,NULL,0
50138,3,NULL,0,0,NULL,0
50139,3,NULL,0,NULL,NULL,0
50140,2,0,1,-1,NULL,0
50145,5,0,1,1,0,0
50149,3,0,-1,0,-1,0
50150,2,0,0,1,-1,0
50152,3,0,-1,-1,-1,0
50153,1,0,-1,-1,-1,-1
50158,3,1,-1,-1,0,0
50159,2,0,0,-1,-1,0
50167,1,0,-1,-1,-1,0
50168,5,0,1,1,-1,0
50169,4,1,1,-1,-1,-1
50174,4,0,-1,1,-1,0
50179,1,-1,-1,-1,-1,0
50180,5,1,0,1,-1,0
50189,3,0,0,0,0,0
50191,2,0,-1,-1,-1,0
50192,3,NULL,-1,1,0,0
50194,2,0,-1,1,0,-1
50195,3,1,0,-1,0,0
50197,5,1,1,1,0,0
50204,2,0,0,-1,-1,0
50205,4,0,NULL,-1,0,0
50211,2,0,-1,-1,0,0
50222,5,1,0,1,-1,0
50224,4,1,1,0,0,0
50225,3,0,0,1,-1,0
50226,3,0,-1,1,-1,0
50228,1,0,0,-1,-1,-1
50230,3,1,-1,-1,0,0
50231,3,0,-1,-1,-1,0
50232,4,-1,1,1,0,0
50234,5,0,1,1,0,0
50235,3,1,0,-1,-1,0
50236,4,1,-1,-1,-1,1
50238,2,1,0,0,-1,0
50239,5,1,-1,1,-1,0
50242,4,0,-1,1,-1,0
50243,2,-1,-1,-1,-1,0
50245,2,0,-1,-1,-1,0
50248,3,0,-1,0,0,0
50254,3,0,0,0,-1,-1
50257,3,0,-1,0,NULL,NULL
50261,1,-1,-1,1,-1,0
50262,4,1,1,0,-1,0
50272,4,0,0,1,-1,0
50276,3,0,-1,1,-1,0
50278,4,0,0,1,-1,0
50279,3,0,0,0,-1,0
50280,1,-1,-1,1,-1,0
50281,4,1,-1,1,1,0
50283,5,0,1,1,-1,0
50289,3,1,-1,0,-1,0
50290,4,1,0,1,-1,0
50291,5,0,1,1,-1,0
50292,1,0,-1,-1,-1,0
50295,1,0,-1,-1,-1,0
