ID,NDC
84001,8400110
84117,8411701
84510,8451001
84990,8499002
84994,8499402
90003,9000302
90005,9000501
90011,9001104
90012,9001201
90013,9001305
90016,9001612
90017,9001755
90018,9001820
90020,9002001
90022,9002201
90029,9002901
90031,9003101
90039,9003906
90044,9004401
90047,9004704
90050,9005002
90055,9005501
90056,9005602
90057,9005707
90059,9005907
90064,9006404
90065,9006501
90066,9006607
90068,9006807
90073,9007301
90085,9008510
90086,9008601
90090,9009001
90094,9009401
90176,9017601
90225,9022502
90233,9023344
90234,9023401
90241,9024101
90260,9026001
90271,9027101
90274,9027401
90280,9028002
90287,9028701
90302,9030225
90306,9030602
90331,9033102
90341,9034101
90347,9034702
90352,9035201
90370,9037003
90395,9039514
90417,9041701
90436,9043601
90450,9045003
90520,9052001
90555,9055501
90602,9060225
90626,9062601
90698,9069802
90728,9072809
90746,9074630
90758,9075801
90760,9076004
90775,9077526
90796,9079601
90825,9082501
90827,9082703
90850,9085001
90856,9085605
90870,9087026
90901,9090125
90902,9090218
93051,9305102
93073,9307301
93116,9311601
93124,9312403
93169,9316906
93329,9332901
93331,9333101
93359,9335901
93375,9337502
93381,9338102
93382,9338202
93447,9344703
93448,9344801
93449,9344901
93470,9347002
93475,9347501
93701,9370105
93794,9379422
94073,9407304
94541,9454102
94544,9454402
94709,9470913
94992,9499202
95012,9501201
95013,9501301
95014,9501401
95091,9509101
95093,9509301
95095,9509506
95136,9513601
95137,9513704
95138,9513802
95140,9514004
95176,9517601
95180,9518001
95181,9518101
95182,9518201
95190,9519001
95191,9519101
95400,9540001
95401,9540101
96582,9658201
96780,9678002
97166,9716601
97168,9716801
97188,9718801
97199,9719901
97200,9720001
97224,9722402
97376,9737611
97529,9752903
97663,9766304
97667,9766701
97686,9768604
97807,9780702
99890,9989002
130101,13010101
130102,13010201
130132,13013202
131114,13111410
132150,13215036
132576,13257691
132586,13258691
132596,13259691
132626,13262681
132646,13264681
132649,13264902
132650,13265002
132651,13265102
132652,13265202
132653,13265302
132654,13265402
132655,13265502
132656,13265602
132657,13265702
132658,13265802
135301,13530117
138303,13830304
138717,13871762
138727,13872789
153080,15308060
153404,15340420
190862,19086250
190953,19095305
191188,19118827
191323,19132300
191324,19132406
191332,19133200
191333,19133300
193183,19318309
194816,19481604
230042,23004203
230066,23006604
230106,23010605
230240,23024004
230312,23031204
230313,23031304
230316,23031604
230403,23040305
230506,23050601
230798,23079801
231145,23114501
232181,23218105
233205,23320502
233240,23324001
233348,23334807
233416,23341605
233507,23350705
233615,23361501
233616,23361603
233670,23367003
